one,three,MW,lambdas,sigmas,q,bondlength,bondk,angle,anglek,omega
R,ARG,156.190,0.741,0.656,1.000,0.380,0.000,0.000,0.000,-2.000
D,ASP,115.090,0.093,0.558,-1.000,0.380,0.000,0.000,0.000,-2.000
N,ASN,114.100,0.371,0.568,0.000,0.380,0.000,0.000,0.000,-2.000
E,GLU,129.110,0.000,0.592,-1.000,0.380,0.000,0.000,0.000,-2.000
K,LYS,128.170,0.138,0.636,1.000,0.380,0.000,0.000,0.000,-2.000
H,HIS,137.140,0.409,0.608,0.000,0.380,0.000,0.000,0.000,-2.000
Q,GLN,128.130,0.314,0.602,0.000,0.380,0.000,0.000,0.000,-2.000
S,SER,87.080,0.447,0.518,0.000,0.380,0.000,0.000,0.000,-2.000
C,CYS,103.140,0.592,0.548,0.000,0.380,0.000,0.000,0.000,-2.000
G,GLY,57.050,0.754,0.450,0.000,0.380,0.000,0.000,0.000,-0.500
T,THR,101.110,0.267,0.562,0.000,0.380,0.000,0.000,0.000,-2.000
A,ALA,71.070,0.338,0.504,0.000,0.380,0.000,0.000,0.000,-2.000
M,MET,131.200,0.517,0.618,0.000,0.380,0.000,0.000,0.000,1.100
Y,TYR,163.180,0.951,0.646,0.000,0.380,0.000,0.000,0.000,1.100
V,VAL,99.130,0.294,0.586,0.000,0.380,0.000,0.000,0.000,1.100
W,TRP,186.220,1.033,0.678,0.000,0.380,0.000,0.000,0.000,1.100
L,LEU,113.160,0.555,0.618,0.000,0.380,0.000,0.000,0.000,1.100
I,ILE,113.160,0.513,0.618,0.000,0.380,0.000,0.000,0.000,1.100
P,PRO,97.120,0.347,0.556,0.000,0.380,0.000,0.000,0.000,-2.000
F,PHE,147.180,0.891,0.636,0.000,0.380,0.000,0.000,0.000,1.100
B,SEB,88.080,0.447,0.588,0.000,0.442,17660.000,2.240,16.000,-2.000
O,CHO,87.160,0.437,0.650,1.000,0.402,4010.000,2.460,7.400,-1.000
J,PHO,108.990,0.500,0.578,-1.000,0.471,3788.000,3.125,13.000,-1.000
U,MID,143.120,0.469,0.507,0.000,0.465,4734.000,3.125,19.600,-0.500
Z,TPO,140.260,1.730,0.730,0.000,0.530,2312.000,3.125,9.800,1.200
X,TDO,148.940,1.650,0.730,0.000,0.520,2634.000,3.125,9.000,1.200
